 INFO  Accepting connections at http://localhost:5000
 HTTP  6/14/2025 11:51:37 PM 127.0.0.1 HEAD /
 HTTP  6/14/2025 11:51:37 PM 127.0.0.1 Returned 200 in 56 ms
 HTTP  6/14/2025 11:51:45 PM 127.0.0.1 GET /
 HTTP  6/14/2025 11:51:45 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/14/2025 11:51:58 PM 127.0.0.1 GET /
 HTTP  6/14/2025 11:51:58 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/14/2025 11:51:58 PM 127.0.0.1 GET /static/js/main.f0b0ee61.js
 HTTP  6/14/2025 11:51:58 PM 127.0.0.1 GET /static/css/main.42b6624c.css
 HTTP  6/14/2025 11:51:58 PM 127.0.0.1 Returned 200 in 64 ms
 HTTP  6/14/2025 11:51:58 PM 127.0.0.1 Returned 200 in 69 ms
 HTTP  6/14/2025 11:52:54 PM 127.0.0.1 GET /
 HTTP  6/14/2025 11:52:54 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/14/2025 11:52:54 PM 127.0.0.1 GET /static/js/main.f0b0ee61.js
 HTTP  6/14/2025 11:52:54 PM 127.0.0.1 GET /static/css/main.42b6624c.css
 HTTP  6/14/2025 11:52:54 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  6/14/2025 11:52:54 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  6/14/2025 11:53:32 PM 127.0.0.1 GET /
 HTTP  6/14/2025 11:53:32 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/14/2025 11:53:32 PM 127.0.0.1 GET /static/js/main.f0b0ee61.js
 HTTP  6/14/2025 11:53:32 PM 127.0.0.1 GET /static/css/main.42b6624c.css
 HTTP  6/14/2025 11:53:32 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  6/14/2025 11:53:32 PM 127.0.0.1 Returned 200 in 3 ms
